Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,Share
James Harden,28,72,35.4,30.4,5.4,8.8,1.8,0.7,.449,.367,.858,15.4,0.955
Russell Westbrook,28,81,34.6,31.6,10.7,10.4,1.6,0.4,.425,.343,.845,13.1,0.879
Stephen Curry,27,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,1.000
Stephen Curry,26,80,32.7,23.8,4.3,7.7,2.0,0.2,.487,.443,.914,15.7,0.922
Kevin Durant,25,81,38.5,32.0,7.4,5.5,1.3,0.7,.503,.391,.873,19.2,0.986
LeBron James,28,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,.406,.753,19.3,0.998
LeBron James,27,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,.362,.771,14.5,0.888
Derrick Rose,22,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,0.977
LeBron James,25,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,0.980
LeBron James,24,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,0.969
Kobe Bryant,29,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,0.873
Dirk Nowitzki,28,78,36.2,24.6,8.9,3.4,0.7,0.8,.502,.416,.904,16.3,0.882
Steve Nash,31,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,0.739
Steve Nash,30,75,34.3,15.5,3.3,11.5,1.0,0.1,.502,.431,.887,10.9,0.839
Kevin Garnett,27,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,0.991
Tim Duncan,26,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,0.808
Tim Duncan,25,82,40.6,25.5,12.7,3.7,0.7,2.5,.508,.100,.799,17.8,0.757
Allen Iverson,25,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,0.904
Shaquille O'Neal,27,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,0.998
Karl Malone,35,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,0.701
Michael Jordan,34,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,0.934
Karl Malone,33,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,0.857
Michael Jordan,32,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,0.986
David Robinson,29,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,0.858
Hakeem Olajuwon,31,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,0.880
Charles Barkley,29,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,0.852
Michael Jordan,28,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,0.938
Michael Jordan,27,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,0.928
Magic Johnson,30,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,0.691
Magic Johnson,29,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,0.782
Michael Jordan,24,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,0.831
Magic Johnson,27,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,0.940
Larry Bird,29,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,0.981
Larry Bird,28,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,0.978
Larry Bird,27,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,0.858
Moses Malone,27,78,37.5,24.5,15.3,1.3,1.1,2.0,.501,.000,.761,15.1,0.960
Moses Malone,26,81,42.0,31.1,14.7,1.8,0.9,1.5,.519,.000,.762,15.4,0.735
Julius Erving,30,82,35.0,24.6,8.0,4.4,2.1,1.8,.521,.222,.787,13.8,0.658
